site,depth,replicate_no,family,species,size,biomass
laamafaruhaa,5,1,PAR,DUSKY,Nov-20,99.92
laamafaruhaa,5,1,PAR,DUSKY,Nov-20,99.92
laamafaruhaa,5,1,PAR,DUSKY,Nov-20,99.92
laamafaruhaa,5,1,PAR,DUSKY,Nov-20,99.92
laamafaruhaa,5,1,PAR,DUSKY,Nov-20,99.92
laamafaruhaa,5,1,PAR,DUSKY,Nov-20,99.92
laamafaruhaa,5,1,PAR,3 COLOUR,Nov-20,99.92
laamafaruhaa,5,1,PAR,3 COLOUR,Nov-20,99.92
laamafaruhaa,5,1,PAR,3 COLOUR,Nov-20,99.92
laamafaruhaa,5,1,PAR,3 COLOUR,Nov-20,99.92
laamafaruhaa,5,1,PAR,3 COLOUR,Nov-20,99.92
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,SORDID,21-30,423.88
laamafaruhaa,5,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,1,PAR,SCABER,21-30,290.09
laamafaruhaa,5,1,PAR,ROSY,21-30,410.81
laamafaruhaa,5,1,PAR,ROSY,21-30,410.81
laamafaruhaa,5,1,PAR,ROSY,21-30,410.81
laamafaruhaa,5,1,PAR,SQ,Nov-20,127.76
laamafaruhaa,5,1,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,1,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,1,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,1,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,1,PAR,DUSKY,31-40,1178.25
laamafaruhaa,5,1,PAR,DUSKY,31-40,1178.25
laamafaruhaa,5,1,PAR,DUSKY,31-40,1178.25
laamafaruhaa,5,1,PAR,DUSKY,31-40,1178.25
laamafaruhaa,5,1,PAR,DUSKY,31-40,1178.25
laamafaruhaa,5,1,PAR,DUSKY,31-40,1178.25
laamafaruhaa,5,1,PAR,ECLIPSE,31-40,1178.25
laamafaruhaa,5,1,PAR,ECLIPSE,31-40,1178.25
laamafaruhaa,5,1,RAB,CHIN,31-40,890.08
laamafaruhaa,5,1,RAB,CHIN,31-40,890.08
laamafaruhaa,5,1,RAB,CHIN,31-40,890.08
laamafaruhaa,5,1,RAB,CHIN,31-40,890.08
laamafaruhaa,5,1,TRIG,STR,NA,NA
laamafaruhaa,5,1,TRIG,STR,NA,NA
laamafaruhaa,5,1,TRIG,STR,NA,NA
laamafaruhaa,5,1,TRIG,STR,NA,NA
laamafaruhaa,5,1,TRIG,STR,NA,NA
laamafaruhaa,5,1,TRIG,SUBF,NA,NA
laamafaruhaa,5,2,PAR,SORDID,44837,3.7
laamafaruhaa,5,2,PAR,SORDID,44837,3.7
laamafaruhaa,5,2,PAR,SORDID,44837,3.7
laamafaruhaa,5,2,PAR,SORDID,44837,3.7
laamafaruhaa,5,2,PAR,SORDID,44837,3.7
laamafaruhaa,5,2,PAR,DUSKY,44837,4.02
laamafaruhaa,5,2,PAR,DUSKY,44837,4.02
laamafaruhaa,5,2,PAR,DUSKY,44837,4.02
laamafaruhaa,5,2,PAR,DUSKY,44837,4.02
laamafaruhaa,5,2,PAR,DUSKY,44837,4.02
laamafaruhaa,5,2,PAR,DUSKY,44837,4.02
laamafaruhaa,5,2,PAR,DUSKY,44837,4.02
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02450264
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02450265
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02450266
laamafaruhaa,5,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,5,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,5,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,5,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,5,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,5,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,5,2,PAR,3 COLOUR,Nov-20,99.92
laamafaruhaa,5,2,PAR,3 COLOUR,Nov-20,99.92
laamafaruhaa,5,2,PAR,ROSY,Nov-20,89.54578826
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,SORDID,21-30,423.88
laamafaruhaa,5,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,5,2,PAR,3 COLOUR,21-30,467.63
laamafaruhaa,5,2,PAR,3 COLOUR,21-30,467.63
laamafaruhaa,5,2,PAR,SCABER,31-40,746.53
laamafaruhaa,5,2,PAR,ROSY,21-30,410.81
laamafaruhaa,5,2,PAR,ROSY,21-30,410.81
laamafaruhaa,5,2,PAR,ROSY,21-30,410.81
laamafaruhaa,5,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,5,2,PAR,DUSKY,31-40,1304.18
laamafaruhaa,5,2,PAR,DUSKY,31-40,1304.18
laamafaruhaa,5,2,PAR,DUSKY,31-40,1304.18
laamafaruhaa,5,2,PAR,DUSKY,31-40,1304.18
laamafaruhaa,5,2,PAR,DUSKY,31-40,1304.18
laamafaruhaa,5,2,PAR,3 COLOUR,31-40,1304.18
laamafaruhaa,5,2,PAR,FRENATUS,31-40,1773.57
laamafaruhaa,5,2,PAR,STR,NA,NA
laamafaruhaa,5,2,PAR,STR,NA,NA
laamafaruhaa,5,2,PAR,STR,NA,NA
laamafaruhaa,5,2,PAR,STR,NA,NA
laamafaruhaa,5,2,PAR,STR,NA,NA
laamafaruhaa,5,2,PAR,STR,NA,NA
laamafaruhaa,5,2,PAR,BLUEBAR,31-40,1178.25
laamafaruhaa,5,2,PAR,BLUEBAR,31-40,1178.25
laamafaruhaa,5,1,EMP,MONO,Nov-20,89
laamafaruhaa,5,1,EMP,MONO,Nov-20,89
laamafaruhaa,5,1,EMP,MONO,Nov-20,89
laamafaruhaa,5,1,EMP,MONO,Nov-20,89
laamafaruhaa,5,1,EMP,MONO,Nov-20,89
laamafaruhaa,5,1,EMP,MONO,Nov-20,89
laamafaruhaa,5,1,EMP,MONO,Nov-20,89
laamafaruhaa,5,1,EMP,MONO,Nov-20,89
laamafaruhaa,5,1,EMP,MONO,Nov-20,89
laamafaruhaa,5,1,GRO,LEU,Nov-20,398
laamafaruhaa,5,1,GRO,LEU,Nov-20,398
laamafaruhaa,5,1,GRO,ARG,Nov-20,59
laamafaruhaa,5,1,GRO,ARG,Nov-20,59
laamafaruhaa,5,1,GRO,ROG,Nov-20,64
laamafaruhaa,5,1,GRO,ROG,Nov-20,64
laamafaruhaa,5,1,GRO,ROG,Nov-20,64
laamafaruhaa,5,1,SNAP,MONOS,21-30,279
laamafaruhaa,5,1,GRO,LEU,21-30,1921
laamafaruhaa,5,1,GRO,COE,21-30,248
laamafaruhaa,5,1,GRO,COE,21-30,248
laamafaruhaa,5,1,SNAP,MONOS,31-40,737
laamafaruhaa,5,1,SNAP,FUR,31-40,873
laamafaruhaa,5,1,SNAP,FUR,31-40,873
laamafaruhaa,5,1,GRO,COE,31-40,647
laamafaruhaa,5,1,EMP,ERY,51-60,4031
laamafaruhaa,5,2,GRO,ARG,44837,2
laamafaruhaa,5,2,GRO,ROG,44837,3
laamafaruhaa,5,2,EMP,MONO,Nov-20,64
laamafaruhaa,5,2,SNAP,FUR,Nov-20,78
laamafaruhaa,5,2,GRO,LEU,Nov-20,398
laamafaruhaa,5,2,GRO,ARG,Nov-20,59
laamafaruhaa,5,2,GRO,ARG,Nov-20,59
laamafaruhaa,5,2,SNAP,FUR,21-30,333
laamafaruhaa,5,2,GRO,ARG,21-30,277
laamafaruhaa,5,2,SNAP,MONOS,31-40,737
laamafaruhaa,5,1,BUT,FAL,NA,NA
laamafaruhaa,5,1,BUT,FAL,NA,NA
laamafaruhaa,5,1,BUT,LN,NA,NA
laamafaruhaa,5,1,BUT,LN,NA,NA
laamafaruhaa,5,1,BUT,LN,NA,NA
laamafaruhaa,5,1,BUT,LN,NA,NA
laamafaruhaa,5,1,BUT,TFT,NA,NA
laamafaruhaa,5,1,BUT,TFT,NA,NA
laamafaruhaa,5,1,BUT,TFT,NA,NA
laamafaruhaa,5,1,BUT,TFT,NA,NA
laamafaruhaa,5,2,BUT,TRI,NA,NA
laamafaruhaa,5,2,BUT,COL,NA,NA
laamafaruhaa,5,2,BUT,LUN,NA,NA
laamafaruhaa,5,2,BUT,LUN,NA,NA
laamafaruhaa,5,2,BUT,LN,NA,NA
laamafaruhaa,5,2,BUT,LN,NA,NA
laamafaruhaa,5,2,BUT,LN,NA,NA
laamafaruhaa,5,2,BUT,LN,NA,NA
laamafaruhaa,5,2,BUT,TFT,NA,NA
laamafaruhaa,5,2,BUT,TFT,NA,NA
laamafaruhaa,5,2,BUT,TFT,NA,NA
laamafaruhaa,5,2,BUT,TFT,NA,NA
laamafaruhaa,5,2,BUT,TFT,NA,NA
laamafaruhaa,5,2,BUT,TFT,NA,NA
laamafaruhaa,5,2,BUT,TFT,NA,NA
laamafaruhaa,5,2,BUT,TFT,NA,NA
laamafaruhaa,10,1,EMP,MONO,Nov-20,89
laamafaruhaa,10,1,EMP,MONO,Nov-20,89
laamafaruhaa,10,1,EMP,MONO,Nov-20,89
laamafaruhaa,10,1,SNAP,IND2,Nov-20,63
laamafaruhaa,10,1,SNAP,IND,Nov-20,66
laamafaruhaa,10,1,SNAP,IND,Nov-20,66
laamafaruhaa,10,1,EMP,MONO,21-30,379
laamafaruhaa,10,1,EMP,MONO,21-30,379
laamafaruhaa,10,1,EMP,HAR,21-30,334
laamafaruhaa,10,1,SNAP,IND,21-30,283
laamafaruhaa,10,1,SNAP,IND,21-30,283
laamafaruhaa,10,1,GRO,ALBO,21-30,226
laamafaruhaa,10,1,GRO,MIN,21-30,257
laamafaruhaa,10,2,GRO,MIN,Nov-20,55
laamafaruhaa,10,2,EMP,MONO,21-30,379
laamafaruhaa,10,2,EMP,MONO,21-30,379
laamafaruhaa,10,2,EMP,MONO,21-30,379
laamafaruhaa,10,2,EMP,MONO,21-30,379
laamafaruhaa,10,2,SNAP,RED,21-30,308
laamafaruhaa,10,2,GRO,MIN,21-30,257
laamafaruhaa,10,2,GRO,MIN,21-30,257
laamafaruhaa,10,2,GRO,MIN,21-30,257
laamafaruhaa,10,2,GRO,MIN,21-30,257
laamafaruhaa,10,2,GRO,ARG,21-30,277
laamafaruhaa,10,2,GRO,ROG,44837,3
laamafaruhaa,10,2,BUT,TRI,NA,NA
laamafaruhaa,10,2,BUT,TRI,NA,NA
laamafaruhaa,10,2,BUT,MEY,NA,NA
laamafaruhaa,10,2,BUT,LN,NA,NA
laamafaruhaa,10,2,BUT,LN,NA,NA
laamafaruhaa,10,2,BUT,LN,NA,NA
laamafaruhaa,10,2,BUT,LN,NA,NA
laamafaruhaa,10,2,BUT,LN,NA,NA
laamafaruhaa,10,2,BUT,LN,NA,NA
laamafaruhaa,10,2,BUT,LN,NA,NA
laamafaruhaa,10,2,BUT,TFT,NA,NA
laamafaruhaa,10,2,BUT,TFT,NA,NA
laamafaruhaa,10,2,BUT,TFT,NA,NA
laamafaruhaa,10,2,BUT,TFT,NA,NA
laamafaruhaa,10,2,BUT,TFT,NA,NA
laamafaruhaa,10,2,BUT,TFT,NA,NA
laamafaruhaa,10,1,BUT,FAL,NA,NA
laamafaruhaa,10,1,PAR,SORDID,44837,3.7
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,1,PAR,SORDID,21-30,423.88
laamafaruhaa,10,1,PAR,SORDID,21-30,423.88
laamafaruhaa,10,1,PAR,SORDID,21-30,423.88
laamafaruhaa,10,1,PAR,SORDID,21-30,423.88
laamafaruhaa,10,1,PAR,SORDID,21-30,423.88
laamafaruhaa,10,1,PAR,SORDID,21-30,423.88
laamafaruhaa,10,1,PAR,SORDID,21-30,423.88
laamafaruhaa,10,1,PAR,SORDID,21-30,423.88
laamafaruhaa,10,1,PAR,SORDID,31-40,1178.25
laamafaruhaa,10,1,PAR,SORDID,31-40,1178.25
laamafaruhaa,10,1,PAR,SORDID,31-40,1178.25
laamafaruhaa,10,1,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,1,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,1,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,1,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,1,PAR,DUSKY,31-40,1304.18
laamafaruhaa,10,1,PAR,DUSKY,31-40,1304.18
laamafaruhaa,10,1,PAR,DUSKY,31-40,1304.18
laamafaruhaa,10,1,PAR,DUSKY,31-40,1304.18
laamafaruhaa,10,1,PAR,GFACE,51-60,4840.26
laamafaruhaa,10,1,PAR,GFACE,51-60,4840.26
laamafaruhaa,10,1,RAB,STR,31-40,468.15
laamafaruhaa,10,1,RAB,STR,31-40,468.15
laamafaruhaa,10,1,TRIG,STR,NA,NA
laamafaruhaa,10,1,TRIG,STR,NA,NA
laamafaruhaa,10,1,TRIG,STR,NA,NA
laamafaruhaa,10,1,TRIG,STR,NA,NA
laamafaruhaa,10,1,TRIG,STR,NA,NA
laamafaruhaa,10,1,TRIG,STR,NA,NA
laamafaruhaa,10,1,TRIG,SUFB,NA,NA
laamafaruhaa,10,1,TRIG,SUFB,NA,NA
laamafaruhaa,10,2,RAB,STR,21-30,198.25
laamafaruhaa,10,2,RAB,STR,21-30,198.25
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,Nov-20,91.02
laamafaruhaa,10,2,PAR,SORDID,21-30,423.88
laamafaruhaa,10,2,PAR,SORDID,21-30,423.88
laamafaruhaa,10,2,PAR,SORDID,21-30,423.88
laamafaruhaa,10,2,PAR,SORDID,21-30,423.88
laamafaruhaa,10,2,PAR,SORDID,21-30,423.88
laamafaruhaa,10,2,PAR,SORDID,21-30,423.88
laamafaruhaa,10,2,PAR,SORDID,21-30,423.88
laamafaruhaa,10,2,PAR,SORDID,21-30,423.88
laamafaruhaa,10,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,10,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,10,2,PAR,SORDID,31-40,1178.25
laamafaruhaa,10,2,PAR,DUSKY,44837,4.02
laamafaruhaa,10,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,2,PAR,DUSKY,Nov-20,91.02
laamafaruhaa,10,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,2,PAR,DUSKY,21-30,467.63
laamafaruhaa,10,2,PAR,DUSKY,31-40,1304.18
laamafaruhaa,10,2,PAR,DUSKY,31-40,1304.18
laamafaruhaa,10,2,PAR,DUSKY,31-40,1304.18
laamafaruhaa,10,2,PAR,EMBER,21-30,404.98
laamafaruhaa,10,2,PAR,ECLIPSE,31-40,1178.25
laamafaruhaa,10,2,TRIG,STR,NA,NA
laamafaruhaa,10,2,TRIG,STR,NA,NA
laamafaruhaa,10,2,TRIG,STR,NA,NA
laamafaruhaa,10,2,TRIG,STR,NA,NA
laamafaruhaa,10,2,TRIG,STR,NA,NA
laamafaruhaa,10,2,TRIG,STR,NA,NA
laamafaruhaa,10,2,TRIG,SUFB,NA,NA
raha_inside,5,1,RAB,SCH,21-30,324.43
raha_inside,5,1,RAB,SCH,21-30,324.43
raha_inside,5,1,RAB,SCH,21-30,324.43
raha_inside,5,1,RAB,SCH,21-30,324.43
raha_inside,5,1,RAB,SCH,21-30,324.43
raha_inside,5,1,RAB,SCH,21-30,324.43
raha_inside,5,1,RAB,SCH,21-30,324.43
raha_inside,5,1,RAB,SCH,21-30,324.43
raha_inside,5,1,PAR,EMBER,44837,3.04
raha_inside,5,1,PAR,EMBER,44837,3.04
raha_inside,5,1,PAR,EMBER,44837,3.04
raha_inside,5,1,PAR,EMBER,44837,3.04
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,SORDID,44837,3.7
raha_inside,5,1,PAR,DUSKY,44837,4.02
raha_inside,5,1,PAR,DUSKY,44837,4.02
raha_inside,5,1,PAR,SORDID,Nov-20,91.02
raha_inside,5,1,PAR,SORDID,Nov-20,91.02
raha_inside,5,1,PAR,SORDID,Nov-20,91.02
raha_inside,5,1,PAR,SORDID,Nov-20,91.02
raha_inside,5,1,PAR,SORDID,Nov-20,91.02
raha_inside,5,1,PAR,SORDID,Nov-20,91.02
raha_inside,5,1,PAR,SORDID,Nov-20,91.02
raha_inside,5,1,PAR,DUSKY,Nov-20,99.92
raha_inside,5,1,PAR,DUSKY,Nov-20,99.92
raha_inside,5,1,PAR,DUSKY,Nov-20,99.92
raha_inside,5,1,PAR,3 COLOUR,Nov-20,99.92
raha_inside,5,1,PAR,SORDID,21-30,423.88
raha_inside,5,1,PAR,SORDID,21-30,423.88
raha_inside,5,1,PAR,SORDID,21-30,423.88
raha_inside,5,1,PAR,SORDID,21-30,423.88
raha_inside,5,1,PAR,SORDID,21-30,423.88
raha_inside,5,1,PAR,SORDID,21-30,423.88
raha_inside,5,1,PAR,SORDID,21-30,423.88
raha_inside,5,1,PAR,SORDID,21-30,423.88
raha_inside,5,1,PAR,DUSKY,21-30,467.63
raha_inside,5,1,PAR,3 COLOUR,21-30,467.63
raha_inside,5,1,PAR,SORDID,31-40,1178.25
raha_inside,5,1,PAR,SORDID,31-40,1178.25
raha_inside,5,1,PAR,SORDID,31-40,1178.25
raha_inside,5,1,PAR,SORDID,31-40,1178.25
raha_inside,5,1,PAR,DUSKY,31-40,1304.18
raha_inside,5,1,PAR,DUSKY,31-40,1304.18
raha_inside,5,1,PAR,3 COLOUR,31-40,1304.18
raha_inside,5,1,TRIG,STR,NA,NA
raha_inside,5,2,RAB,SGR,21-30,276.83
raha_inside,5,2,RAB,SGR,21-30,276.83
raha_inside,5,2,RAB,SGR,21-30,276.83
raha_inside,5,2,RAB,SGR,21-30,276.83
raha_inside,5,2,RAB,SGR,21-30,276.83
raha_inside,5,2,RAB,SGR,21-30,276.83
raha_inside,5,2,RAB,SGR,21-30,276.83
raha_inside,5,2,PAR,SORDID,Nov-20,91.02
raha_inside,5,2,PAR,SORDID,Nov-20,91.02
raha_inside,5,2,PAR,SORDID,Nov-20,91.02
raha_inside,5,2,PAR,SORDID,Nov-20,91.02
raha_inside,5,2,PAR,SORDID,Nov-20,91.02
raha_inside,5,2,PAR,DUSKY,Nov-20,99.92
raha_inside,5,2,PAR,DUSKY,Nov-20,99.92
raha_inside,5,2,PAR,DUSKY,Nov-20,99.92
raha_inside,5,2,PAR,DUSKY,Nov-20,99.92
raha_inside,5,2,PAR,SORDID,21-30,423.88
raha_inside,5,2,PAR,SORDID,21-30,423.88
raha_inside,5,2,PAR,SORDID,21-30,423.88
raha_inside,5,2,PAR,SORDID,21-30,423.88
raha_inside,5,2,PAR,SORDID,21-30,423.88
raha_inside,5,2,PAR,DUSKY,21-30,467.63
raha_inside,5,2,PAR,DUSKY,21-30,467.63
raha_inside,5,2,PAR,DUSKY,21-30,467.63
raha_inside,5,2,PAR,DUSKY,21-30,467.63
raha_inside,5,2,PAR,DUSKY,21-30,467.63
raha_inside,5,2,PAR,DUSKY,21-30,467.63
raha_inside,5,2,PAR,DUSKY,21-30,467.63
