Surveyors Name,Site,Site.name,Reef.type,Depth,Replicate No.,Family,Species,Size,Biomass
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,5,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,5,1,PAR,DUSKY,Nov-20,99.9213819
VE,OI,Olhutholhu inside,inside,5,1,PAR,DUSKY,Nov-20,99.9213819
VE,OI,Olhutholhu inside,inside,5,1,PAR,DUSKY,21-30,467.632543
VE,OI,Olhutholhu inside,inside,5,1,PAR,DUSKY,21-30,467.632543
VE,OI,Olhutholhu inside,inside,5,1,PAR,DUSKY,31-40,1304.18158
VE,OI,Olhutholhu inside,inside,5,1,PAR,DUSKY,31-40,1304.18158
VE,OI,Olhutholhu inside,inside,5,1,PAR,DUSKY,31-40,1304.18158
VE,OI,Olhutholhu inside,inside,5,1,PAR,DUSKY,31-40,1304.18158
VE,OI,Olhutholhu inside,inside,5,1,PAR,3 COLOR,31-40,1304.18158
VE,OI,Olhutholhu inside,inside,5,1,PAR,L NOSE,31-40,648.924996
VE,OI,Olhutholhu inside,inside,5,1,PAR,ROSY,21-30,410.8119986
VE,OI,Olhutholhu inside,inside,5,1,PAR,ROSY,31-40,1082.62583
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,Nov-20,91.0245026
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,Nov-20,91.0245026
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,Nov-20,91.0245026
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,Nov-20,91.0245026
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,Nov-20,91.0245026
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,Nov-20,91.0245026
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,21-30,423.879609
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,10,1,PAR,SORDID,31-40,1178.25415
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,Nov-20,99.9213819
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,Nov-20,99.9213819
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,21-30,467.632543
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,21-30,467.632543
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,21-30,467.632543
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,21-30,467.632543
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,31-40,1304.18158
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,31-40,1304.18158
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,31-40,1304.18158
VE,OI,Olhutholhu inside,inside,10,1,PAR,DUSKY,31-40,1304.18158
VE,OI,Olhutholhu inside,inside,10,1,PAR,ROSY,03-Oct,3.75958577
VE,OI,Olhutholhu inside,inside,10,1,PAR,ROSY,03-Oct,3.75958577
VE,OI,Olhutholhu inside,inside,10,1,TRIG,STR,NA,NA
VE,OI,Olhutholhu inside,inside,10,1,TRIG,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,3 COLOR,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,3 COLOR,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,3 COLOR,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,3 COLOR,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,3 COLOR,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,1,PAR,SCABER,21-30,290.088219
VE,LF,Laamafaruhaa,thila,5,1,PAR,ROSY,21-30,410.811999
VE,LF,Laamafaruhaa,thila,5,1,PAR,ROSY,21-30,410.811999
VE,LF,Laamafaruhaa,thila,5,1,PAR,ROSY,21-30,410.811999
VE,LF,Laamafaruhaa,thila,5,1,PAR,SQ,Nov-20,
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,DUSKY,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,ECLIPSE,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,PAR,ECLIPSE,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,1,RAB,CHIN,31-40,890.076513
VE,LF,Laamafaruhaa,thila,5,1,RAB,CHIN,31-40,890.076513
VE,LF,Laamafaruhaa,thila,5,1,RAB,CHIN,31-40,890.076513
VE,LF,Laamafaruhaa,thila,5,1,RAB,CHIN,31-40,890.076513
VE,LF,Laamafaruhaa,thila,5,1,TRIG,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,1,TRIG,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,1,TRIG,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,1,TRIG,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,1,TRIG,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,1,TRIG,SUBF,NA,NA
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,03-Oct,3.70470881
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,03-Oct,4.024894534
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,03-Oct,4.02489453
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,03-Oct,4.024894526
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,03-Oct,4.024894522
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,03-Oct,4.024894518
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,03-Oct,4.024894514
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,03-Oct,4.02489451
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.02450264
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.02450265
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.02450266
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,Nov-20,91.0245026
VE,LF,Laamafaruhaa,thila,5,2,PAR,3 COLOR,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,2,PAR,3 COLOR,Nov-20,99.9213819
VE,LF,Laamafaruhaa,thila,5,2,PAR,ROSY,Nov-20,89.54578826
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,21-30,423.879609
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,2,PAR,3 COLOR,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,2,PAR,3 COLOR,21-30,467.632543
VE,LF,Laamafaruhaa,thila,5,2,PAR,SCABER,31-40,746.529889
VE,LF,Laamafaruhaa,thila,5,2,PAR,ROSY,21-30,410.811999
VE,LF,Laamafaruhaa,thila,5,2,PAR,ROSY,21-30,410.811999
VE,LF,Laamafaruhaa,thila,5,2,PAR,ROSY,21-30,410.811999
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,2,PAR,SORDID,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,31-40,1304.18158
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,31-40,1304.18158
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,31-40,1304.18158
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,31-40,1304.18159
VE,LF,Laamafaruhaa,thila,5,2,PAR,DUSKY,31-40,1304.18158
VE,LF,Laamafaruhaa,thila,5,2,PAR,3 COLOR,31-40,1304.18158
VE,LF,Laamafaruhaa,thila,5,2,PAR,FRENATUS,31-40,1773.57165
VE,LF,Laamafaruhaa,thila,5,2,PAR,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,2,PAR,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,2,PAR,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,2,PAR,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,2,PAR,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,2,PAR,STR,NA,NA
VE,LF,Laamafaruhaa,thila,5,2,PAR,BLUE,31-40,1178.25415
VE,LF,Laamafaruhaa,thila,5,2,PAR,BLUE,31-40,1178.25415
PR,LF,Laamafaruhaa,thila,5,1,EMP,MONO,Nov-20,89
PR,LF,Laamafaruhaa,thila,5,1,EMP,MONO,Nov-20,89
PR,LF,Laamafaruhaa,thila,5,1,EMP,MONO,Nov-20,89
PR,LF,Laamafaruhaa,thila,5,1,EMP,MONO,Nov-20,89
PR,LF,Laamafaruhaa,thila,5,1,EMP,MONO,Nov-20,89
PR,LF,Laamafaruhaa,thila,5,1,EMP,MONO,Nov-20,89
PR,LF,Laamafaruhaa,thila,5,1,EMP,MONO,Nov-20,89
PR,LF,Laamafaruhaa,thila,5,1,EMP,MONO,Nov-20,89
PR,LF,Laamafaruhaa,thila,5,1,EMP,MONO,Nov-20,89
PR,LF,Laamafaruhaa,thila,5,1,GRO,LEU,Nov-20,398
PR,LF,Laamafaruhaa,thila,5,1,GRO,LEU,Nov-20,398
PR,LF,Laamafaruhaa,thila,5,1,GRO,ARG,Nov-20,59
PR,LF,Laamafaruhaa,thila,5,1,GRO,ARG,Nov-20,59
PR,LF,Laamafaruhaa,thila,5,1,GRO,ROG,Nov-20,64
PR,LF,Laamafaruhaa,thila,5,1,GRO,ROG,Nov-20,64
PR,LF,Laamafaruhaa,thila,5,1,GRO,ROG,Nov-20,64
PR,LF,Laamafaruhaa,thila,5,1,SNAP,MONOS,21-30,279
PR,LF,Laamafaruhaa,thila,5,1,GRO,LEU,21-30,1921
PR,LF,Laamafaruhaa,thila,5,1,GRO,COE,21-30,248
PR,LF,Laamafaruhaa,thila,5,1,GRO,COE,21-30,248
PR,LF,Laamafaruhaa,thila,5,1,SNAP,MONOS,31-40,737
PR,LF,Laamafaruhaa,thila,5,1,SNAP,FUR,31-40,873
PR,LF,Laamafaruhaa,thila,5,1,SNAP,FUR,31-40,873
PR,LF,Laamafaruhaa,thila,5,1,GRO,COE,31-40,647
PR,LF,Laamafaruhaa,thila,5,1,EMP,ERY,51-60,4031
PR,LF,Laamafaruhaa,thila,5,2,GRO,ARG,03-Oct,2
PR,LF,Laamafaruhaa,thila,5,2,GRO,ROG,03-Oct,3
PR,LF,Laamafaruhaa,thila,5,2,EMP,MONO,Nov-20,64
PR,LF,Laamafaruhaa,thila,5,2,SNAP,FUR,Nov-20,78
PR,LF,Laamafaruhaa,thila,5,2,GRO,LEU,Nov-20,398
PR,LF,Laamafaruhaa,thila,5,2,GRO,ARG,Nov-20,59
PR,LF,Laamafaruhaa,thila,5,2,GRO,ARG,Nov-20,59
PR,LF,Laamafaruhaa,thila,5,2,SNAP,FUR,21-30,333
PR,LF,Laamafaruhaa,thila,5,2,GRO,ARG,21-30,277
PR,LF,Laamafaruhaa,thila,5,2,SNAP,MONOS,31-40,737
PR,LF,Laamafaruhaa,thila,5,1,BUT,FAL,NA,NA
PR,LF,Laamafaruhaa,thila,5,1,BUT,FAL,NA,NA
