site,gps_coordi0tes,date,start_time,end_time,depth,replicate_no,family,species,size,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,03-Oct,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,MAX,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:02,09:22,10,1,GC,MAX,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,09:23,09:45,10,2,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,LOB,SPINY,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,10:39,11:04,5,1,GC,MAX,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,SEA,FLOWER,0,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,0-10,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,CROC,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,SQ,11-20,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,SQ,21-30,,,,,,,,,,,,,,,,
laamafaruhaa,"1°50'06.2""N 73°23'28.6""E",08/11/2021,11:06,11:27,5,2,GC,SQ,41-50,,,,,,,,,,,,,,,,
