Inside MPA,,,,,Importance,Biomass,,outside MPA,,,,Biomass,Importance
hithadhoo_inside,inside,T&J,BLOCH,,com,743.643335,,olhuveli_corner,channel,SNAP,FUR,333,com
hithadhoo_inside,inside,GRO,COE,,com,647,,olhuveli_corner,channel,PAR,DUSKY,299.7641457,eco
hithadhoo_inside,inside,SNAP,GIB,,com,634,,olhuveli_corner,channel,T&J,MEL,164,com
hithadhoo_inside,inside,GRO,ARG,,com,613,,olhuveli_corner,channel,PAR,3 COLOUR,132.1205381,eco
hithadhoo_inside,inside,PAR,SCABER,,eco,580.176438,,olhuveli_corner,channel,GRO,ROG,128,com
hithadhoo_inside,inside,RAB,STR,,com,468.146329,,olhuveli_corner,channel,PAR,EMBER,125.250002,eco
hithadhoo_inside,inside,SNAP,CHEK,,com,356.8823076,,olhuveli_corner,channel,PAR,ROSY,93.30537407,eco
hithadhoo_inside,inside,SNAP,FUR,,com,333,,olhuveli_corner,channel,PAR,SORDID,14.81883524,eco
hithadhoo_inside,inside,PAR,ROSY,,eco,89.5457883,,,,,,,
hithadhoo_inside,inside,GRO,MER,,com,57,,,,,,,
hithadhoo_west,channel,PAR,STEEPHEAD,,eco,49302.08626,,,,,,,
hithadhoo_west,channel,T&J,ORTH,,com,15685,,,,,,,
hithadhoo_west,channel,PAR,GFACE,,eco,14417.64563,,,,,,,
hithadhoo_west,channel,PAR,SORDID,,eco,5113.077863,,,,,,,
hithadhoo_west,channel,EMP,MONO,,com,3642,,,,,,,
hithadhoo_west,channel,GRO,ARG,,com,1834,,,,,,,
hithadhoo_west,channel,GRO,SCAB,,com,1783.147997,,,,,,,
hithadhoo_west,channel,SNAP,MID,,com,1778.054488,,,,,,,
hithadhoo_west,channel,PAR,3 COLOUR,,eco,1638.739654,,,,,,,
hithadhoo_west,channel,PAR,BARTAIL,,eco,1304.18158,,,,,,,
hithadhoo_west,channel,SNAP,GIB,,com,634,,,,,,,
hithadhoo_west,channel,GRO,MIN,,com,478.3734354,,,,,,,
hithadhoo_west,channel,GRO,ROG,,com,360,,,,,,,
hithadhoo_west,channel,SNAP,FUR,,com,333,,,,,,,
hithadhoo_west,channel,PAR,ROSY,,eco,268.6373649,,,,,,,
